Tt_r #Tt[0], [1],..Tt[nr-1]. [1/cm2]

0.000	 1.4663E-003
0.100	 2.0807E-003
0.200	 1.8858E-003
0.300	 1.9095E-003
0.400	 1.8591E-003
0.500	 1.5398E-003
0.600	 1.5454E-003
0.700	 1.1847E-003
0.800	 1.0619E-003
0.900	 1.0198E-003
1.000	 8.4996E-004
1.100	 7.7938E-004
1.200	 6.1445E-004
1.300	 5.4034E-004
1.400	 3.9294E-004
1.500	 3.5391E-004
1.600	 2.8694E-004
1.700	 2.2263E-004
1.800	 1.7006E-004
1.900	 1.5953E-004
2.000	 1.2184E-004
2.100	 9.9843E-005
2.200	 9.0430E-005
2.300	 6.6001E-005
2.400	 5.1083E-005
2.500	 3.9715E-005
2.600	 2.5325E-005
2.700	 2.9469E-005
2.800	 1.8023E-005
2.900	 1.5289E-005
3.000	 1.3477E-005
3.100	 8.9817E-006
3.200	 9.9669E-006
3.300	 8.2138E-006
3.400	 2.7776E-006
3.500	 3.0289E-006
3.600	 2.8957E-006
3.700	 1.7996E-006
3.800	 1.2342E-006
3.900	 1.4239E-006
4.000	 6.3106E-007
4.100	 1.1521E-006
4.200	 3.4124E-007
4.300	 5.7989E-007
4.400	 2.3650E-007
4.500	 4.3060E-007
4.600	 2.8822E-007
4.700	 1.2143E-007
4.800	 6.6875E-008
4.900	 1.1613E-007
5.000	 7.5032E-008
5.100	 2.8714E-008
5.200	 8.1045E-008
5.300	 1.9970E-008
5.400	 6.4577E-009
5.500	 6.1435E-008


Tt_a #Tt[0], [1],..Tt[na-1]. [sr-1]
0.000	 1.2925E-003


# position   Tt[r][angle]. [1/(cm2sr)].
# Tt[0][0], [0][1],..[0][na-1]
# Tt[1][0], [1][1],..[1][na-1]
# ...
# Tt[nr-1][0], [nr-1][1],..[nr-1][na-1]
r    angle   Tt_ra

0.000	0.000	 3.3004E-004
 0.100	0.000	 4.6832E-004
 0.200	0.000	 4.2445E-004
 0.300	0.000	 4.2979E-004
 0.400	0.000	 4.1845E-004
 0.500	0.000	 3.4658E-004
 0.600	0.000	 3.4785E-004
 0.700	0.000	 2.6665E-004
 0.800	0.000	 2.3901E-004
 0.900	0.000	 2.2953E-004
 1.000	0.000	 1.9131E-004
 1.100	0.000	 1.7542E-004
 1.200	0.000	 1.3830E-004
 1.300	0.000	 1.2162E-004
 1.400	0.000	 8.8443E-005
 1.500	0.000	 7.9659E-005
 1.600	0.000	 6.4584E-005
 1.700	0.000	 5.0110E-005
 1.800	0.000	 3.8277E-005
 1.900	0.000	 3.5907E-005
 2.000	0.000	 2.7423E-005
 2.100	0.000	 2.2473E-005
 2.200	0.000	 2.0354E-005
 2.300	0.000	 1.4855E-005
 2.400	0.000	 1.1498E-005
 2.500	0.000	 8.9391E-006
 2.600	0.000	 5.7001E-006
 2.700	0.000	 6.6329E-006
 2.800	0.000	 4.0566E-006
 2.900	0.000	 3.4412E-006
 3.000	0.000	 3.0334E-006
 3.100	0.000	 2.0216E-006
 3.200	0.000	 2.2433E-006
 3.300	0.000	 1.8487E-006
 3.400	0.000	 6.2517E-007
 3.500	0.000	 6.8175E-007
 3.600	0.000	 6.5177E-007
 3.700	0.000	 4.0504E-007
 3.800	0.000	 2.7779E-007
 3.900	0.000	 3.2049E-007
 4.000	0.000	 1.4204E-007
 4.100	0.000	 2.5931E-007
 4.200	0.000	 7.6806E-008
 4.300	0.000	 1.3052E-007
 4.400	0.000	 5.3230E-008
 4.500	0.000	 9.6919E-008
 4.600	0.000	 6.4873E-008
 4.700	0.000	 2.7330E-008
 4.800	0.000	 1.5052E-008
 4.900	0.000	 2.6138E-008
 5.000	0.000	 1.6888E-008
 5.100	0.000	 6.4630E-009
 5.200	0.000	 1.8242E-008
 5.300	0.000	 4.4949E-009
 5.400	0.000	 1.4535E-009
 5.500	0.000	 1.3828E-008
 
