Tt_r #Tt[0], [1],..Tt[nr-1]. [1/cm2]

0.000	 5.2208E-002
0.100	 4.9987E-002
0.200	 4.6125E-002
0.300	 4.0258E-002
0.400	 3.4185E-002
0.500	 2.8143E-002
0.600	 2.2551E-002
0.700	 1.7792E-002
0.800	 1.3726E-002
0.900	 1.0493E-002
1.000	 7.9207E-003
1.100	 5.9583E-003
1.200	 4.4541E-003
1.300	 1.5207E-002


Tt_a #Tt[0], [1],..Tt[na-1]. [sr-1]
0.000	 1.4180E-002


# position   Tt[r][angle]. [1/(cm2sr)].
# Tt[0][0], [0][1],..[0][na-1]
# Tt[1][0], [1][1],..[1][na-1]
# ...
# Tt[nr-1][0], [nr-1][1],..[nr-1][na-1]
r    angle   Tt_ra

0.000	0.000	 1.1751E-002
 0.100	0.000	 1.1251E-002
 0.200	0.000	 1.0382E-002
 0.300	0.000	 9.0612E-003
 0.400	0.000	 7.6943E-003
 0.500	0.000	 6.3345E-003
 0.600	0.000	 5.0758E-003
 0.700	0.000	 4.0046E-003
 0.800	0.000	 3.0895E-003
 0.900	0.000	 2.3617E-003
 1.000	0.000	 1.7828E-003
 1.100	0.000	 1.3411E-003
 1.200	0.000	 1.0025E-003
 1.300	0.000	 3.4229E-003
 
