Tt_r #Tt[0], [1],..Tt[nr-1]. [1/cm2]

0.000	 4.1914E-003
0.100	 5.3154E-003
0.200	 5.8588E-003
0.300	 4.5621E-003
0.400	 3.7131E-003
0.500	 4.5292E-003
0.600	 3.5762E-003
0.700	 3.2636E-003
0.800	 2.3014E-003
0.900	 1.8601E-003
1.000	 1.5712E-003
1.100	 1.7743E-003
1.200	 9.6368E-004
1.300	 6.0275E-004
1.400	 5.2675E-004
1.500	 5.3882E-004
1.600	 2.7687E-004
1.700	 1.7632E-004
1.800	 1.9426E-004
1.900	 1.3771E-004
2.000	 4.9958E-004


Tt_a #Tt[0], [1],..Tt[na-1]. [sr-1]
0.000	 2.3814E-003


# position   Tt[r][angle]. [1/(cm2sr)].
# Tt[0][0], [0][1],..[0][na-1]
# Tt[1][0], [1][1],..[1][na-1]
# ...
# Tt[nr-1][0], [nr-1][1],..[nr-1][na-1]
r    angle   Tt_ra

0.000	0.000	 9.4339E-004
 0.100	0.000	 1.1964E-003
 0.200	0.000	 1.3187E-003
 0.300	0.000	 1.0268E-003
 0.400	0.000	 8.3574E-004
 0.500	0.000	 1.0194E-003
 0.600	0.000	 8.0493E-004
 0.700	0.000	 7.3457E-004
 0.800	0.000	 5.1799E-004
 0.900	0.000	 4.1867E-004
 1.000	0.000	 3.5365E-004
 1.100	0.000	 3.9935E-004
 1.200	0.000	 2.1690E-004
 1.300	0.000	 1.3567E-004
 1.400	0.000	 1.1856E-004
 1.500	0.000	 1.2128E-004
 1.600	0.000	 6.2317E-005
 1.700	0.000	 3.9686E-005
 1.800	0.000	 4.3723E-005
 1.900	0.000	 3.0996E-005
 2.000	0.000	 1.1244E-004
 
